리뷰,rep,index,Processing
소중한 사람과 함께 오면 더 좋아요~,1,17,"['소중하다', '사람과', '오다', '더', '좋다']"
올 때는 당산에서 빨간색 광역버스 타고 오거나 근처 역에서 내려서 걸어오면 됩니다!,2,17,"['오다', '는', '당산', '빨간색', '광역버스', '타고', '오거', '근처', '역', '내다', '걸어오다', '되다']"
청춘페스티벌 공연 관람하러 처음 와봤어요.,0,18,"['청춘', '페스티벌', '공연', '관람', '하다', '처음', '오다', '보다']"
다음에 기회가 되면 날씨 좋을 때 또 오고싶어요!,1,18,"['기회', '되다', '날씨', '좋다', '오다']"
"좋아하는 운동, 가족단위 휴식에도 좋아요.",0,19,"['좋아하다', '운동', '가족', '단위', '휴식', '에도', '좋다']"
X-SPORTS공간으로 묘기를 위한 공간과 오프로드 경기장이 있고 한강 가족야외수영장도 있습니다.,1,19,"['X', 'SPORTS', '공간', '묘기', '위', '한', '공간', '오프로드', '경기장', '한강', '가족', '야외', '수영장', '도']"
그외 야구장이 2개 있어 야구동호인들이 야구 경기도 하더라구요.,2,19,"['외', '야구장', '개', '야구', '동', '호인', '야구', '경기도', '하다']"
여름에도 나무그늘 밑에는 시원해요.,3,19,"['여름', '에도', '나무', '그늘', '밑', '에는', '시원하다']"
바람이 많이 불어요.,4,19,"['바람', '많이', '불어', '요']"
단 일찍와서 좋은 자리를 선점해야 합니다.,5,19,"['단', '일찍', '서다', '좋다', '자리', '선점', '하다', '하다']"
처음 와봤지만 좋은 경험입니다.,6,19,"['처음', '오다', '보다', '좋다', '경험', '이다']"
다음번에는 아이들과 자전거타러 와야겠어요.,7,19,"['번', '에는', '자전거', '오다']"
Any given sunday is the someday festival  비구름 걷힌 청명한 가을하늘 두 볼을 간지르는 따스한 햇살 옷깃을 저미는 차가운 바람 세상을 향한 젊은 울부짖음,0,20,"['Any', 'given', 'sunday', 'is', 'the', 'someday', 'festival', '비구름', '걷히다', '청명', '한', '가을', '하늘', '두', '볼', '간', '지르다', '따스하다', '햇살', '옷깃', '밉다', '차갑다', '바람', '세상', '향', '한', '젊다', '울부짖다']"
"2016 the CRY Ground  불꽃축제, 억새축제, DMC페스티벌, MUCON Showcase, 서리풀페스티벌...",1,20,"['2016', 'the', 'CRY', 'Ground', '불꽃', '축제', '억', '새', '축제', 'DMC', '페스티벌', 'MUCON', 'Showcase', '서리', '풀', '페스티벌']"
"온종일 서울시내 곳곳을 주차장으로 만드는 축제의 계절  아아, 서녘 끝 산비탈에 서서 지는 해를 바라보았는가, 그대.",2,20,"['온종일', '서울', '시내', '곳곳', '주차장', '만들다', '축제', '계절', '아아', '서녘', '끝', '산비탈', '서서', '지다', '해', '바라보다', '그대']"
라이딩중에 휴식하고 목 축이기좋은 장소입니다,0,21,"['라이딩', '중', '휴식', '하고', '목', '축', '이기', '좋다', '장소', '이다']"
일요일이라사람들이엄청많아요,0,22,"['일요일', '이라', '사람', '엄청', '많다']"
탁트인 전망과 여러가지 부대시설들이 편리합니다.,0,23,"['탁트인', '전망', '여러가지', '부대', '시설', '편리하다']"
무대공연장도 있구요.,1,23,"['무대', '공연장', '도']"
"가양대교 북단에 있는 난지생태습지원 그리고 한강의 야경, 난지물놀이장, 난지한강공원등을 돌아봤는데 생태습지원이 아주 잘돼있네요.",0,24,"['가양대교', '북단', '난', '지', '생태', '습지', '원', '한강', '야경', '난', '지', '물놀이', '장', '난', '지', '한강', '공원', '돌아보다', '생태', '습지', '원', '아주', '잘', '돼다']"
하늘공원 건너편입니다.,0,25,"['하늘', '공원', '건너편', '이다']"
탁 트인 전망이 좋습니다.,1,25,"['탁', '트이다', '전망', '좋다']"
산책하거나 자전거를 타는 사람도 많았습니다.,2,25,"['산책', '거나', '자전거', '사람', '도', '많다']"
불광천과 이어집니다.,3,25,"['불광천', '이어지다']"
교통너무불편함 택시를 타도 기사님들도 위치를 잘모름,0,26,"['교통', '너무', '불편하다', '택시', '타도', '기사', '님', '들다', '위치', '잘', '모르다']"
매점도 급 사라져 아쉽다,1,26,"['매점', '도', '급', '사라지다', '아쉽다']"
2022년 락페스티벌 놀러갔는데 공원이 잘 꾸며있어서 피크닉하러 놀러가기 좋네요,0,27,"['2022년', '락페스티벌', '놀다', '가다', '공원', '자다', '꾸미다', '피크닉', '하다', '놀다', '가기', '좋다']"
- 시원하고 좋은 곳 - 문화 콘서트가 많이 열림,0,28,"['시원하다', '좋다', '곳', '문화', '콘서트', '많이', '열리다']"
난지생태 습지원을지나 난지 한강공원에 ~ 푸르름이 더해가고 세월도 잘도가니  즐기며 살아보자구요~♡♡,0,29,"['난', '지', '생태', '습지', '원', '지나', '난', '지', '한강', '공원', '푸르름', '더하다', '세월', '도', '자다', '도가니', '즐기다', '살', '보다', '♡♡']"
오랜만에 갔는데 많이변했네요.,0,30,"['오랜', '만', '가다', '많이', '변하다']"
강을 따라 걸을 수 있는 산책로가 참 좋았네요~,1,30,"['강', '따르다', '걸', '수', '산책로', '차다', '좋다']"
난지공원이 예전보다 깨끗해졋고요 월드컵대교가 완공되고나서 아래쪽은 테니스장과 운동시설하고 그늘진 곳에서쉴수있는공간이  만들어져있네요,0,31,"['난', '지', '공원', '예전', '보다', '깨끗하다', '졋', '고요', '월드컵대교', '완공', '되다', '아래쪽', '은', '테니스장', '운동', '시설', '하고', '그늘', '진', '곳', '쉬다', '공간', '만들어지다']"
좋아졋슴니다.,1,31,"['좋아졋슴니', '다']"
캠핑장과 오전오후 고기구워 서 먹을수있는공간도있네요,2,31,"['캠핑장', '오전', '오후', '고기구', '워', '서다', '먹다', '공간', '도']"
한번쯤 와보시기 권합니다.,3,31,"['한번', '쯤', '오다', '보다', '권하다']"
관리가 잘 되있습니다.,0,32,"['관리', '자다', '되다']"
주차단속반이 별도로 있어서 주차장 말고는 가차없이 과태료 매깁니다.,1,32,"['주', '차단', '속', '반', '별도', '주차장', '말고는', '가차', '없이', '과태료', '기다']"
