리뷰,rep,index,Processing
이촌역이랑 가까워서 쉽게 걸어 갈수 있고 돗자리를 펴고 피크닉가기 좋습니다.,0,33,"['이촌역', '이랑', '가깝다', '쉬다', '걸다', '갈수', '돗자리', '펴다', '피크닉', '가기', '좋다']"
여름에 청보리밭이 펼쳐져있는 풍경이 좋았습니다.,1,33,"['여름', '청보리', '밭', '펼쳐지다', '풍경', '좋다']"
"생태공원 이 조성뒤어있는 이촌한강공원 가벼운 운동코스로
아주 좋아요",0,34,"['생태', '공원', '조', '성', '뒤', '이촌', '한강', '공원', '가볍다', '운동', '코스', '\r\n', '아주', '좋다']"
다른 곳에 비해 한적합니다.,0,35,"['곳', '비다', '한적하다']"
거기다 날씨 좋은 날에 피크닉 와서 컵라면이랑 음료수 마시면서 한강을 보면 진짜 서울 아니겠습니까?,1,35,"['거기', '다', '날씨', '좋다', '날', '피크닉', '오다', '컵라면', '이랑', '음료수', '말다', '한강', '보다', '진짜', '서울', '아니다']"
자전거도 타면 좋아요.,2,35,"['자전거', '도', '좋다']"
다만 놀이터에 무개념 초등학생들이 있습니다.,3,35,"['놀이터', '무', '개념', '초등학생']"
새치기 해놓고 5분만 더 탄다면서 30분 더 타더라고요.,4,35,"['새치기', '하다', '5분', '만', '더', '30분', '더']"
저는 괜찮았는데 여사친이랑 동생들이 계속 기다렸어요.,5,35,"['는', '괜찮다', '친', '이랑', '동생', '계속', '기다리다']"
쓰레기 관리가 잘안되네요,0,36,"['쓰레기', '관리', '잘', '안되다']"
한강이 한눈에 보이면서도 각종 나무들을 심어놔서 경치도 좋고 잘 관리되어 있어서 산책하기 딱 좋아요,0,37,"['한강', '한눈', '보이다', '나무', '심다', '놓다', '경치', '도', '좋다', '자다', '관리', '되어다', '산책', '하다', '좋다']"
아이들과 같이 놀기 딱좋다.,0,38,"['놀다', '딱좋다']"
산책과 마라톤 자전거 타기도 너무 좋다 다름 지구보다 좋다.,1,38,"['산책', '마라톤', '자전거', '타', '기도', '너무', '좋다', '다르다', '지구', '보다', '좋다']"
코로나이후 처음나온 한강공원입니다.,0,39,"['코로나', '이후', '처음', '나오다', '한강', '공원', '이다']"
맛있는 치킨  그리고 삼겹입니다.,1,39,"['맛있다', '치킨', '삼겹', '이다']"
대한민국 화이팅입니다,2,39,"['대한민국', '화이팅', '이다']"
2018 서울세계불꽃축제가 여의도~이촌한강시민공원 사이 한강에서 쏘아 올려져 아름다운 가을밤을 수놓았다.,0,40,"['2018', '서', '울', '세계', '불꽃', '축제', '여의도', '이촌', '한강', '시민', '공원', '사이', '한강', '쏘다', '올리다', '아름답다', '가을', '밤', '수', '놓다']"
산책이나 자전거타기 좋아요.,0,41,"['산책', '이나', '자전거타기', '좋다']"
"앞으로는 탁트인 한강이 있고, 뒤로는 63빌딩이 떡 버티고 있어요.",1,41,"['앞', '으로는', '탁트인', '한강', '뒤', '로는', '63', '빌딩', '떡', '버티고']"
우리 사랑하는 강아지 머루랑 자주 산책을 가던 곳이예요,0,42,"['사랑', '하다', '강아지', '머루', '랑', '자주', '산책', '가다', '곳', '예요']"
:) 우리 머루가 무지개 다리를 건너서 이제는 같이 갈 순 없지만 여기서 행복한 시간을 많이 보냈었어요!,1,42,"[':)', '머루', '무지개', '다리', '건너다', '이제', '는', '갈다', '순', '없다', '서', '행복하다', '많이', '보내다']"
많은 아이들도 여기서 좋은 시간을 보냈겠죠?,2,42,"['많다', '도', '서', '좋다', '보내다']"
크지는 않지만 있을 건 다 있는 보물같은 곳이지요!,3,42,"['크다', '않다', '건', '다', '보물', '곳', '이지', '요']"
가까이 사시는 분들 부럽습니다,4,42,"['가까이', '사시', '는', '분들', '부럽다']"
다들 여기서 행복한 시간들 되세요,5,42,"['다', '들다', '서', '행복하다', '되다']"
:),6,42,[':)']
조깅하기 좋은곳!!,0,43,"['조깅', '하다', '좋다', '곳', '!!']"
오늘은 유난히 맑은 하늘까지~~,1,43,"['오늘', '은', '유난히', '맑은', '하늘', '~~']"
최고의 공간입니다.,0,44,"['최고', '공간', '이다']"
2018.여의도 한강 불꽃축제 다녀왔어요,0,45,"['2018', '여의도', '한강', '불꽃', '축제', '다녀오다']"
정말 많은 사람들과 즐거운 시간을 보냈습니다,1,45,"['정말', '많다', '사람', '즐겁다', '보내다']"
사람도 다른 한강공원에 비해 적고 한적하고 뷰도 좋고 일몰이 잘 보이며 넓어서 좋습니다,0,46,"['사람', '도', '한강', '공원', '비다', '적다', '한적하다', '뷰', '도', '좋다', '일몰', '자다', '보이', '며', '넓다', '좋다']"
한강공원들 중 가장 괜찮은 산책로와 시설.,0,47,"['한강', '공원', '중', '가장', '괜찮다', '산책로', '시설']"
휴일이라 해지고 산책 갔는데 오랜만에 봐서인지 건너편 야경이 너무나 멋졌네요~~,0,48,"['휴일', '이라', '해지', '고', '산책', '가다', '오랜', '만', '보다', '인지', '건너편', '야경', '너무나', '멋지다', '~~']"
계절마다 조경이 빠뀝니다.,0,49,"['계절', '마다', '조경이', '빠뀝니', '다']"
이촌동에 먹방하고 산책하기 좋아요-,1,49,"['이촌동', '먹방', '하고', '산책', '하다', '좋다']"
다른 한강에 비해서 사람이 많이 없어서 너무 좋아요!,0,50,"['한강', '비', '하다', '사람', '많이', '없다', '너무', '좋다']"
이런저런 건축물도 많이 생겨서 볼거리도 많아졌어요~,1,50,"['이런저런', '건축물', '도', '많이', '생기다', '볼거리', '도', '많아지다']"
장소는 아주 좋은데 주차장이 작아 저~~~~~~멀리까지 주차하려고 줄을 서거나 불법주차를 무지막지하게 하는 것이 단점.,0,51,"['장소', '는', '아주', '좋다', '주차장', '작다', '~~~~~~', '멀리', '주차', '하다', '줄', '서거', '불법', '주차', '무지막지', '하다', '하다', '단점']"
잔디밭에서 가을 한 때를 보내기 좋았어요.,0,52,"['잔디밭', '가을', '하다', '보내다', '좋다']"
찐친과 맥주와 교촌치킨 콤보+ 엽떡 오뎅반반이라는 성스러운 의식을 치뤘습니다..,0,53,"['찌다', '친', '맥주', '교촌치킨', '콤보', '엽떡', '오뎅', '반', '반', '이라는', '성스럽다', '의식', '치르다', '..']"
분위기좋아용 근처에 교촌이랑 엽떡있어서 픽업했더니 배달비 세이브!,1,53,"['분위기', '좋다', '근처', '교촌', '이랑', '엽떡있어', '서', '픽업', '하다', '배달', '비', '세이브']"
한강 공원인데 나무도 많고 사람도 너무 많지 않고 좋아요.,0,54,"['한강', '공원', '인데', '나무', '도', '많다', '사람', '도', '너무', '많다', '않다', '좋다']"
차 끌고 오기에는 망원지구보다 더 좋아요.,1,54,"['차', '끌', '고', '오기', '에는', '망원', '지구', '보다', '더', '좋다']"
반포대교 북단에 위치한 한강공원입니다.,0,55,"['반포대교', '북단', '위치', '한', '한강', '공원', '이다']"
이 곳에 붕어낚시나 납자루낚시가 가능한 곳이 있다해서 찾아가 봤습니다.,1,55,"['곳', '붕어', '낚시', '납자루', '낚시', '가능하다', '곳', '하다', '찾아가다', '보다']"
