,축제명,기간,시간,참여,장소,더보기,시작일,종료일
70,<취소>서울 브릿지 맛-켓 <2023 서울페스타 행사>,2023-05-06(토) ~ 2023-05-06(토),우천으로 행사 취소,현장방문,잠수교,0,2023-05-06,2023-05-06
71,2023 차 없는 잠수교 뚜벅뚜벅 축제 (상반기),2023-05-07(일) ~ 2023-07-09(일),매주 일요일 12:00 ~ 21:00,현장방문,잠수교,0,2023-05-07,2023-07-09
72,청춘페스티벌2023,2023-05-06(토) ~ 2023-05-07(일),12:00 ~ 22:00,인터넷예매,난지한강공원 젊음의광장,0,2023-05-06,2023-05-07
73,2023 프리폴 여성 패션쇼 [루이비통 패션쇼],2023-04-29(토) ~ 2023-04-29(토),저녁 8시,현장방문,반포 잠수교,0,2023-04-29,2023-04-29
74,2023 여의도 물빛무대 10월 공연일정,2023-10-06(금) ~ 2023-10-28(토),"매주 금/토 저녁 (금 18시~20시, 토 17시~19시)",현장방문,여의도 물빛무대,0,2023-10-06,2023-10-28
75,2023 서울 재즈 페스타 (Seoul Jazz Festa),2023-04-28(금) ~ 2023-04-30(일),날짜별 상이,공연 당일 선착순 입장,노들섬,0,2023-04-28,2023-04-30
76,한강별빛소극장 - 2023 한강페스티벌 봄축제,2023-05-07(일) ~ 2023-05-07(일),14:00 ~ 19:30,현장방문,뚝섬자벌레 인근 잔디마당,0,2023-05-07,2023-05-07
77,책읽는 한강공원 - 2023 한강페스티벌 봄축제,2023-05-07(일) ~ 2023-05-07(일),12:00~20:00,현장방문,뚝섬 자벌레 인근 잔디마당,0,2023-05-07,2023-05-07
78,2023 한강역사탐방,2023-04-18(화) ~ 2023-11-30(목),1일 2회(오전/오후) 중 택1,인터넷예약,광나루길 등 14개 코스,0,2023-04-18,2023-11-30
79,Peak Festival 2023,2023-05-27(토) ~ 2023-05-28(일),12:00 ~,인터넷예매 4.18. 18:00~5.26. 17:00,난지한강공원 젊음의광장,0,2023-05-27,2023-05-28
80,서울드럼페스티벌 드럼경연대회 참가자 모집,2023-04-05(수) ~ 2023-04-28(금),본선 5.13.(토) 15:00,참가신청 - 예선 - 본선,노들섬,0,2023-04-05,2023-04-28
81,제25회 서울드럼페스티벌,2023-05-26(금) ~ 2023-05-27(토),14:00~21:00,내용참조,노들섬,0,2023-05-26,2023-05-27
82,2023 한강불빛공연 드론라이트쇼  (상반기),2023-04-29(토) ~ 2023-05-07(일),20:00~20:10 (5/6 20:30~20:40),현장방문,뚝섬한강공원 수변무대,0,2023-04-29,2023-05-07
